ID,,Cs,K40,Ra,Th,U,LF,Ba,Nb,Zr,Sr,Rb,Pb,Zn,Fe,Mn,Cr,Ti,Ca,Al,P,Si,Mg,V
42689,S1,8.31,390,27.9,30.3,38.3,27.5,278.73,10.4,374.27,434.83,48.7,15.64,38.76,15805.93,307.97,41,3028.97,173953.03,28587.98,1056.61,177117.36,1882.33,34.58
42694,S1,9.97,587,32.9,38.4,45.6,101.5,366.52,14.46,244.52,237.29,99.11,21.6,74.31,30549.77,429,85.39,4093.02,87781.42,47629.15,1115.86,212081.34,4160.76,88.03
42727,S1,2.74,548,25.9,28.7,35.2,32.6,300.31,11.12,159.63,435.52,77.99,11.91,59.24,22236.66,281.33,66.78,2866.81,164996.25,41045.09,841.21,169386.09,3926.59,75.78
44677,S1,0,447,33.3,31.2,33,24.6,239.62,9.99,219.8,527.99,76.94,13.66,56.76,21617.43,224,66.98,3118.56,171685.72,40851.82,1006.73,163149.34,5168.86,47
44678,S1,3.34,468,28.9,32.3,30.5,23.8,264.7,10.43,176.13,549.34,81.9,12.65,53.3,21810.25,222.28,84.23,2859.68,182826.13,40132.7,992.94,155240.41,4553.66,56.13
44679,S1,0,468,31.2,33.7,40.6,28.4,282.35,10.92,178.91,515.09,79.58,13.46,51.55,21896.77,232.4,75.58,3127.4,172612,40070.98,1015.7,160864.92,3043.59,50.33
44680,S1,2.27,452,31.4,30.6,36.3,31,250.25,10.8,199.09,500.2,73.8,12.68,48.55,20619.64,224.52,81.11,3101.56,177926.95,38182.36,1012.15,161043.7,3849.77,54.56
44681,S1,2.36,459,27.8,29.4,44.2,38.6,229.99,11.21,157.29,470.2,73.42,12.83,56.38,21230.25,234.56,65.11,3256.7,172527.69,38062.75,1106.51,164246.78,2516.89,50.38
44682,S1,4.5,430,30,28.8,39.8,34.8,259.11,10.3,145.56,467.61,67.94,15.14,54.84,19724.23,248.15,58.84,3065.25,182880.11,36178.4,1074.24,161766.64,2514.38,60.8
44683,S1,3.62,418,28,32,51.4,63.5,291.72,11.08,189.75,404.45,65.2,15.94,53.79,19634.21,361.32,68.35,3145.57,175546.28,34677.89,1212.25,162794.55,2966.14,53.74
